,Code,nt,ns,nr,nC,nC',nHeNe,nD,nd,ne,nF,nF',ng,nh,ni,Vd,Ve,nFC,nF'c',A0,A1,A2,A3,A4,A5,PdC,Ped,PgF,P'dC',P'ed,P'gF',dPFe,dPgF,RC,RA,DW,DA,alpha1,alpha2,HK,FA,Density,Frequency,Price
H-ZLaF51,805396,1.78343,1.78832,1.79514,1.79849,1.79943,1.80032,1.80433,1.8045,1.80932,1.81879,1.81998,1.83042,1.84039,1.85819,39.64,39.39,0.020298,0.020549,3.16E+00,-1.27E-02,3.25E-02,3.74E-04,6.46E-05,7.28E-08,0.2964,0.2375,0.573,0.2467,0.2346,0.5081,-0.0014,-0.0052,1,3,1,3,52,68,664,101,4.41,B,64
H-ZLaF52A,806410,1.78566,1.79039,1.79701,1.80026,1.80119,1.80205,1.80593,1.8061,1.81077,1.81992,1.82107,1.83111,1.84064,1.85749,41.02,40.76,0.019653,0.019889,3.17E+00,-1.15E-02,3.26E-02,9.57E-05,9.63E-05,-2.45E-06,0.2972,0.2376,0.5694,0.2469,0.2348,0.5048,-0.0016,-0.0065,1,4,1,3,61,75,596,93,4.48,MA,42
H-ZLaF53B,834372,1.81118,1.81638,1.82374,1.82739,1.82843,1.8294,1.8338,1.834,1.8393,1.8498,1.85113,1.86276,1.87392,1.89397,37.21,36.98,0.022413,0.022697,3.26E+00,-1.23E-02,3.55E-02,7.06E-04,4.35E-05,1.96E-06,0.2949,0.2365,0.5782,0.2454,0.2335,0.5124,-0.0008,-0.0041,1,4,1,2,59,72,613,93,4.54,MA,47
H-ZLaF53BGT,834372,1.81118,1.81638,1.82374,1.82739,1.82843,1.8294,1.8338,1.834,1.8393,1.8498,1.85113,1.86276,1.87392,1.89397,37.21,36.98,0.022413,0.022697,3.26E+00,-1.23E-02,3.55E-02,7.06E-04,4.35E-05,1.96E-06,0.2949,0.2365,0.5782,0.2454,0.2335,0.5124,-0.0008,-0.0041,1,4,1,2,59,72,613,93,4.54,MA,47
H-ZLaF55D,835427,1.81424,1.81906,1.82572,1.82898,1.8299,1.83076,1.83464,1.83481,1.83945,1.84852,1.84966,1.85956,1.8689,1.88533,42.73,42.49,0.019539,0.019756,3.27E+00,-1.29E-02,3.28E-02,1.83E-04,7.64E-05,-1.75E-06,0.2982,0.2375,0.5649,0.2485,0.2349,0.5013,-0.0019,-0.0081,1,2,1,2,64,81,684,97,4.56,MA,65
H-ZLaF56B,806333,1.78189,1.78732,1.79513,1.79902,1.80012,1.80117,1.80589,1.8061,1.81184,1.82325,1.8247,1.83755,1.85016,1.87351,33.27,33.03,0.02423,0.024579,3.15E+00,-1.12E-02,3.75E-02,7.87E-04,2.97E-05,7.45E-06,0.2924,0.2368,0.5903,0.2431,0.2334,0.5229,-0.0005,0.0013,1,3,1,2,74,86,582,149,3.79,MA,41
H-ZLaF66,801350,1.77792,1.78312,1.79057,1.79427,1.79533,1.79632,1.8008,1.801,1.80642,1.81718,1.81856,1.83062,1.84238,1.86393,34.97,34.72,0.022907,0.023227,3.14E+00,-1.05E-02,3.66E-02,3.99E-04,7.66E-05,3.24E-06,0.2938,0.2366,0.5872,0.2441,0.2333,0.5197,-0.0008,0.001,1,3,1,3,79,93,596,204,3.89,A,44
H-ZLaF66GT,801350,1.77792,1.78312,1.79057,1.79427,1.79533,1.79632,1.8008,1.801,1.80642,1.81718,1.81856,1.83062,1.84238,1.86393,34.97,34.72,0.022907,0.023227,3.14E+00,-1.05E-02,3.66E-02,3.99E-04,7.66E-05,3.24E-06,0.2938,0.2366,0.5872,0.2441,0.2333,0.5197,-0.0008,0.001,1,3,1,3,79,93,596,204,3.89,A,44
H-ZLaF68N,883392,1.85985,1.86515,1.87263,1.87634,1.87739,1.87836,1.8828,1.883,1.88834,1.89885,1.90018,1.91175,1.92278,1.9424,39.22,38.96,0.022515,0.022799,3.43E+00,-1.27E-02,3.80E-02,3.98E-04,8.03E-05,-6.07E-07,0.2958,0.2372,0.573,0.2461,0.2342,0.5075,-0.0014,-0.006,1,1,1,1,58,86,687,96,5.17,B,126
H-ZLaF69,816465,1.79725,1.80171,1.80779,1.81074,1.81157,1.81235,1.81585,1.816,1.82016,1.82828,1.82928,1.83802,1.84622,1.86041,46.54,46.31,0.01753,0.01771,3.21E+00,-1.30E-02,2.92E-02,1.88E-04,5.71E-05,-1.96E-06,0.2998,0.2376,0.5559,0.2499,0.2352,0.4933,-0.0016,-0.0105,1,3,1,2,64,78,721,128,5.01,B,207
H-ZLaF71,850323,1.82394,1.82989,1.83835,1.84258,1.84377,1.84491,1.85003,1.85026,1.85648,1.86891,1.87047,1.8845,1.89823,,32.3,32.08,0.026326,0.026702,3.30E+00,-1.57E-02,3.74E-02,2.17E-03,-1.49E-04,1.85E-05,0.2917,0.2363,0.5925,0.243,0.233,0.5254,0,0.0018,1,3,1,3,76,92,607,131,4.22,B,79
H-ZLaF75B,904314,1.8751,1.88147,1.89066,1.89527,1.89659,1.89782,1.90341,1.90366,1.91046,1.92404,1.92577,1.94113,1.95615,1.98403,31.42,31.19,0.028762,0.029189,3.48E+00,-1.33E-02,4.65E-02,1.01E-03,5.58E-05,7.97E-06,0.2917,0.2364,0.5943,0.2422,0.233,0.5261,-0.0004,0.0023,1,1,1,1,70,88,587,122,4.56,MA,76
H-ZLaF76,850301,1.82207,1.8284,1.83741,1.84191,1.8432,1.84441,1.84989,1.85013,1.85681,1.8702,1.87191,1.88715,1.90221,,30.06,29.83,0.028285,0.028719,3.30E+00,-1.72E-02,3.87E-02,2.68E-03,-2.04E-04,2.43E-05,0.2907,0.2363,0.5995,0.2417,0.2327,0.5307,-0.0001,0.005,1,3,1,5,68,83,615,137,3.98,A,98
H-ZLaF78B,901371,1.87598,1.88159,1.88956,1.89353,1.89466,1.89571,1.90048,1.90069,1.90646,1.91784,1.91928,1.9319,1.94398,1.96571,37.05,36.82,0.02431,0.02462,3.49E+00,-1.33E-02,4.00E-02,8.23E-04,3.93E-05,2.87E-06,0.2946,0.2373,0.5783,0.2449,0.2344,0.5126,-0.0013,-0.0043,1,1,1,1,68,86,716,101,4.95,B,110
H-ZLaF85L,852407,1.82972,1.83478,1.84183,1.84529,1.84628,1.84719,1.85132,1.8515,1.85647,1.8662,1.86743,1.87811,1.88824,1.90616,40.73,40.49,0.020908,0.021154,3.33E+00,-1.32E-02,3.50E-02,2.54E-04,8.70E-05,-1.84E-06,0.297,0.2377,0.5696,0.2468,0.2349,0.5049,-0.002,-0.0067,1,2,1,3,65,81,705,95,4.62,,
H-ZLaF89L,954323,1.92448,1.93098,1.9404,1.94513,1.94648,1.94774,1.95349,1.95375,1.96073,1.97465,1.97642,1.99208,2.00732,2.03535,32.31,32.09,0.02952,0.02994,3.67E+00,-1.37E-02,4.84E-02,1.32E-03,2.42E-05,8.50E-06,0.292,0.2364,0.5904,0.2428,0.2331,0.523,-0.0004,-0.0002,1,1,1,1,72,88,698,107,5.1,C,69
H-ZLaF90,1254,1.96315,1.97128,1.98327,1.9894,1.99115,1.9928,2.00035,2.00069,2.00995,2.02875,2.03117,2.0529,2.07471,,25.43,25.24,0.039357,0.04002,3.82E+00,-1.89E-02,5.45E-02,5.09E-03,-4.44E-04,5.05E-05,0.287,0.2352,0.6137,0.2384,0.2313,0.5431,0.0021,0.0113,1,1,1,1,70,87,625,124,4.74,B,90
H-ZLaF92,3283,1.96892,1.97643,1.98746,1.99306,1.99465,1.99616,2.003,2.0033,2.01167,2.0285,2.03064,2.04987,2.06885,2.10467,28.32,28.11,0.035432,0.035996,3.84E+00,-1.55E-02,5.58E-02,2.58E-03,-9.64E-05,2.26E-05,0.289,0.2362,0.6031,0.2403,0.2325,0.5342,0.0009,0.0057,1,1,1,1,69,87,697,96,5.02,C,97
